# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.777142,33.827179,270.177370,298.256688,0.7079575023,10.0319314656,317.38,0.00
27.033260,33.703918,270.583414,297.616807,0.4966215036,7.7605202817,318.40,0.00
26.987621,33.607117,271.900976,297.279783,0.5787595665,8.1173782355,317.22,0.00
26.750198,33.824097,269.791523,298.399409,0.6599625419,9.2740096248,318.14,0.00
26.511211,34.344788,262.773896,298.277040,0.2960302092,8.4795314701,307.14,294.24
26.801315,33.860443,269.912453,298.870175,0.6773941090,9.6135338944,317.61,0.00
26.988884,34.187378,261.845485,298.114546,0.2904041099,8.5709076907,308.06,294.26
26.383171,33.964630,269.363109,296.673491,0.4563139202,7.4372184357,316.69,0.00
26.602249,33.654846,272.034468,296.153184,0.4489552204,5.4670708378,318.40,0.00
26.442654,33.910614,269.280649,297.013072,0.4294071437,6.9374544943,317.29,0.00
26.401783,34.058044,267.910515,298.117173,0.4652809681,7.5059588382,318.07,0.00
26.992599,33.851929,268.779635,297.843650,0.4835602501,7.9450933317,316.76,0.00
26.636890,33.872040,268.361798,297.939909,0.5426961380,8.2654183672,318.10,0.00
26.935036,34.181091,262.103366,298.142928,0.2973707044,8.6779702398,308.35,294.25
26.944271,33.785339,270.194823,297.294051,0.4486969746,7.1700552818,317.07,0.00
26.756523,34.343201,262.096740,298.219594,0.3048094670,8.7521865849,307.39,294.33
26.394733,33.540070,274.232028,296.042356,0.4432769247,6.4200607286,317.59,0.00
26.285492,34.135834,268.391853,297.861686,0.4479299642,7.3926822763,318.12,0.00
26.944618,33.480164,277.854780,293.277691,0.6169011205,9.2813981658,311.85,0.00
26.908104,34.177917,262.230886,298.158936,0.3008086067,8.7274495193,307.93,294.24
26.534977,33.494995,275.112602,295.547206,0.4150287726,5.8758415423,317.58,0.00
26.696724,33.513214,275.814321,295.581442,0.4707917183,7.0013460246,316.85,0.00
26.300137,33.681427,272.410770,296.176230,0.4088890007,4.2929823542,318.15,0.00
26.925797,33.386505,277.319335,294.452699,0.5342224822,8.1138320623,315.36,0.00
26.679684,33.998840,263.338783,298.655247,0.2806888431,8.1422417623,311.46,286.16
26.979431,33.697754,270.782385,297.162800,0.4906474783,7.5369207175,317.51,0.00
26.799076,33.585724,274.955862,295.870922,0.5425125685,8.3004491116,315.77,0.00
26.237942,33.765564,271.936062,296.316564,0.4178338085,5.7960344899,317.44,0.00
26.298374,34.289368,263.254189,298.112659,0.2509263678,7.6051290022,307.48,294.08
26.662903,34.179779,263.079219,298.280396,0.3176075292,8.8059342674,306.84,294.19
26.878372,34.204956,262.280504,298.179663,0.3037906041,8.7672127131,307.65,294.24
26.835732,34.077942,262.946826,298.101057,0.2958684260,8.6339295169,308.07,294.23
26.400566,34.362213,262.903737,298.270757,0.2802046608,8.1949588881,307.83,294.21
26.817181,33.984283,263.173855,298.406504,0.2712520908,8.4129043575,311.75,286.30
26.941513,33.815521,269.990920,297.460438,0.4697299037,7.5436585627,316.98,0.00
26.656166,33.660950,273.294359,296.039711,0.4787965106,6.7873248195,316.93,0.00
26.800415,34.165344,262.749856,298.212228,0.3137168430,8.8844437713,307.99,294.23
26.940659,34.120667,262.362358,298.128662,0.2956399920,8.6493900318,308.77,294.25
26.346207,33.473816,275.528843,295.152717,0.4164615831,6.0792774401,316.71,0.00
26.292248,33.467743,275.132507,296.270737,0.4489202466,6.8587415938,317.89,0.00
26.720501,33.851166,269.071211,297.651362,0.5454413314,7.7241203133,317.64,0.00
26.291904,33.771698,271.206821,296.602634,0.4093140591,5.0333410691,317.92,0.00
26.950684,34.305054,261.487099,298.190562,0.2931675938,8.6204252520,307.01,294.30
26.923759,34.301880,261.607095,298.188361,0.2952492738,8.6505581476,308.86,294.29
26.754936,34.068542,263.139643,298.267073,0.3034989217,8.6883575035,307.56,294.22
26.737186,33.365387,274.631993,296.475091,0.4885973832,7.0320365807,318.18,0.00
26.390560,34.178467,263.436259,298.033357,0.2283781663,7.1792719817,308.22,294.08
26.746517,34.159058,262.886944,298.238668,0.3174157762,8.8893205101,308.30,294.22
26.329227,33.958435,269.625697,296.981301,0.4495712795,7.0551217484,318.91,0.00
26.567059,33.742218,271.149222,296.824915,0.5041304605,6.0334257149,318.13,0.00
26.508034,33.491974,274.817436,295.479550,0.4031367654,5.4687201593,317.69,0.00
